#,"This file contains recorder deployment information. Each row contains a set of data concerning the deployment, frequencies, or the recorders. The first field in each row is the key to the rest of the line. If the key is a '#' the line is a comment. Each set of rows is provided with an initial comment row to indicate the purpose of each field in the row. The fields in each row are position dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,clientId,location,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deployment,cpai,chukchi,2009-summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,The frequency points that has the calibration value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequencyPoints,200,300,400,500,600,700,800,900,1000,1200,1300,1400,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,16000,32000,,,,,,,,,,,,,,,,,,,,,,,
#,recorderId,recorderMake,recorderVersion,stationId,hydrophoneId,hydrophoneMake,sampleRate,channels,bitsPerSample,fileStructure,startDate,startTime,driveNo,latitude,longitude,meters,dropDate,dropTime,recoveryDate,recoveryTime,vPerBit,sensitivity,sensitivityFrequencyPoint,Calibrations for Frequency Points,,,,,,,,,,,,,,,,,,,,,,,,,,,
recorder,022,AMAR,1,KL10,86,M15B,16000,1,24,0.1cd28283.000000.1249175175.2009-08-02-01-06-15.wav,02-Aug-09,1:06:17,0,70.9334667,-165.1397167,38.4,06-Aug-09,23:09:04,10-Oct-09,5:26:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,015,AMAR,1,KL11,15,M15B,16000,1,24,0.fbd282da.000000.1249175758.2009-08-02-01-15-58.wav,02-Aug-09,1:15:59,0,71.0049833,-165.1391833,37.8,07-Aug-09,3:44:00,10-Oct-09,10:37:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,009,AMAR,1,KL12,9,M15B,16000,1,24,,02-Aug-09,1:45:43,0,70.8978667,-164.94985,37.49,06-Aug-09,22:32:00,10-Oct-09,4:37:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,024,AMAR,1,PL05,118,M15B,16000,1,24,,02-Aug-09,0:58:55,0,69.8236167,-163.2046333,10.97,06-Aug-09,9:17:27,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,021,AMAR,1,PL20,89,M15B,16000,1,24,0.23528273.000000.1249174909.2009-08-02-01-01-49.wav,02-Aug-09,1:01:51,0,70.01765,-163.66065,24.99,06-Aug-09,12:28:44,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,020,AMAR,1,PL35,14,M15B,16000,1,24,,02-Aug-09,1:03:58,0,70.21135,-164.1184667,33.83,06-Aug-09,14:31:10,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,017,AMAR,1,PL50,123,M15B,16000,1,24,0.ca527fe2.000000.1249175878.2009-08-02-01-17-58.wav,02-Aug-09,1:17:59,0,70.4033167,-164.58815,40.23,06-Aug-09,16:38:54,10-Oct-09,23:06:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,028,AMAR,1,PLN60,85,M15B,16000,1,24,0.8e5280c2.000000.1249240966.2009-08-02-19-22-46.wav,02-Aug-09,19:22:48,0,71.3986,-164.5865833,41.45,08-Aug-09,3:03:00,11-Oct-09,2:12:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,006,AMAR,1,W05,112,M15B,16000,1,24,0.ed52800a.000000.1249242190.2009-08-02-19-43-10.wav,02-Aug-09,19:43:12,0,70.7107667,-160.1849,20.36,10-Aug-09,15:40:30,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,003,AMAR,1,W20,109,M15B,16000,1,24,0.4e528053.000000.1249242076.2009-08-02-19-41-16.wav,02-Aug-09,19:41:18,0,70.9097,-160.62255,51.51,10-Aug-09,13:44:40,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
